x,y,z,success,orient_name,qx,qy,qz,qw,ompl_ms,motion_ms,total_ms
-0.3500,-0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,33.25,1484.16,1517.40
-0.3500,0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,124.64,1923.76,2048.40
-0.2500,-0.4500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,64.02,3105.19,3169.21
-0.2500,-0.3500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,43.17,1443.52,1486.69
-0.2500,-0.2500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,32.57,2261.33,2293.90
-0.2500,-0.1500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,44.98,2142.92,2187.90
-0.2500,-0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,39.47,1098.40,1137.88
-0.2500,0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,75.64,1341.98,1417.62
-0.1500,-0.4500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,62.43,2884.66,2947.09
-0.1500,-0.3500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,38.20,1380.21,1418.41
-0.1500,-0.2500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,56.40,2020.00,2076.40
-0.1500,-0.1500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,56.02,2062.41,2118.43
-0.1500,-0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,32.02,1645.31,1677.33
-0.0500,-0.5500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,47.24,2720.55,2767.79
-0.0500,-0.4500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,104.57,1703.29,1807.86
-0.0500,-0.3500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,41.39,1980.20,2021.59
0.0500,-0.5500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,53.53,2203.48,2257.01
0.0500,-0.4500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,126.59,2941.44,3068.03
0.0500,-0.3500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,45.39,2104.27,2149.65
0.1500,-0.5500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,46.45,3320.89,3367.34
0.1500,-0.4500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,57.98,3279.34,3337.32
0.1500,-0.3500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,106.46,1381.15,1487.61
0.1500,-0.2500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,41.69,2101.14,2142.83
0.1500,-0.1500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,34.98,2101.82,2136.79
0.1500,-0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,47.33,1361.61,1408.93
0.1500,0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,37.95,1339.98,1377.92
0.2500,-0.4500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,47.90,2258.86,2306.76
0.2500,-0.3500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,34.81,1443.07,1477.88
0.2500,-0.2500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,46.27,2066.14,2112.41
0.2500,-0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,41.88,1984.25,2026.12
0.2500,0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,49.48,1359.46,1408.94
0.3500,-0.3500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,43.91,2763.39,2807.30
0.3500,-0.2500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,37.67,2222.40,2260.07
0.3500,-0.1500,0.7500,1,top_down,0.0000,0.7070,0.0000,0.7070,44.53,2338.64,2383.16
0.3500,-0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,75.02,2343.82,2418.84
0.3500,0.0500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,317.89,1219.12,1537.01
