x,y,z,success,ik_ms,wait_ms,total_ms
0.25,-0.35,0.55,0,8.906066999770701,0.0,8.906066999770701
0.25,-0.25,0.55,0,11.632186000497313,0.0,11.632186000497313
0.25,-0.15,0.55,0,9.406457000295632,0.0,9.406457000295632
0.25,-0.05,0.55,1,4.855693998251809,0.4075309989275411,5.26322499717935
0.35,-0.35,0.55,0,12.436623997928109,0.0,12.436623997928109
0.35,-0.25,0.55,0,11.355654001818039,0.0,11.355654001818039
0.35,-0.15,0.55,0,10.21371599927079,0.0,10.21371599927079
0.35,-0.05,0.55,0,8.193949000997236,0.0,8.193949000997236
-0.35,-0.25,0.65,0,10.885312000027625,0.0,10.885312000027625
-0.35,-0.05,0.65,1,2.5607090028643142,0.32598699908703566,2.88669600195135
-0.25,-0.45,0.65,0,7.932331998745212,0.0,7.932331998745212
-0.25,-0.35,0.65,0,9.968009999283822,0.0,9.968009999283822
-0.25,-0.25,0.65,0,7.580526002129773,0.0,7.580526002129773
-0.25,-0.15,0.65,0,6.911235999723431,0.0,6.911235999723431
-0.15,-0.55,0.65,0,7.0676110008207615,0.0,7.0676110008207615
-0.15,-0.45,0.65,0,10.91267800075002,0.0,10.91267800075002
-0.15,-0.35,0.65,0,6.672407002042746,0.0,6.672407002042746
-0.15,-0.25,0.65,0,6.94208200002322,0.0,6.94208200002322
-0.15,-0.15,0.65,1,1.5893969975877553,0.36083600571146235,1.9502330032992177
-0.15,-0.05,0.65,1,1.6660740002407692,0.33259599877055734,1.9986699990113266
-0.15,0.05,0.65,1,2.2187609974935185,0.27947500348091125,2.4982360009744298
-0.05,-0.55,0.65,0,9.737579999637092,0.0,9.737579999637092
-0.05,-0.45,0.65,0,9.539893002511235,0.0,9.539893002511235
-0.05,-0.35,0.65,0,9.857362001639558,0.0,9.857362001639558
0.05,-0.45,0.65,0,8.647321999887936,0.0,8.647321999887936
0.05,-0.35,0.65,0,7.276443997398019,0.0,7.276443997398019
0.15,-0.55,0.65,0,8.399394999287324,0.0,8.399394999287324
0.15,-0.45,0.65,0,8.907185998396017,0.0,8.907185998396017
0.15,-0.35,0.65,0,7.760843996948097,0.0,7.760843996948097
0.15,-0.25,0.65,0,10.54009200015571,0.0,10.54009200015571
0.15,-0.15,0.65,1,4.148766001890181,0.3245109983254224,4.473277000215603
0.15,0.05,0.65,1,2.584404999652179,0.2823569993779529,2.866761999030132
0.25,-0.45,0.65,0,7.414473002427258,0.0,7.414473002427258
0.25,-0.35,0.65,0,11.752223002986284,0.0,11.752223002986284
0.25,-0.25,0.65,0,8.702192000782816,0.0,8.702192000782816
0.25,-0.15,0.65,0,8.28395700227702,0.0,8.28395700227702
0.25,-0.05,0.65,1,8.054857000388438,0.326888999552466,8.381745999940904
0.35,-0.35,0.65,0,9.59255600173492,0.0,9.59255600173492
0.35,-0.25,0.65,0,7.691082999372156,0.0,7.691082999372156
0.35,-0.15,0.65,0,9.716492997540627,0.0,9.716492997540627
