x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.2530,-0.1512,0.4322,1,21.55,0.00,649.70,671.25,0,0.3620
0.2530,-0.1511,0.4322,1,23.63,0.00,1300.31,1323.93,0,1.6271
0.0730,-0.2042,0.4322,1,44.06,0.00,1526.16,1570.22,0,3.0864
0.0730,-0.2042,0.4322,1,26.35,0.00,500.05,526.39,0,0.2703
0.0730,-0.2042,0.4322,1,32.21,0.00,936.08,968.29,0,1.1074
0.0730,-0.2042,0.4322,1,29.16,0.00,340.97,370.14,0,0.1020
0.0730,-0.2042,0.4322,1,11.10,0.00,197.59,208.70,0,0.0375
0.0730,-0.2042,0.4322,1,12.40,0.00,266.39,278.79,0,0.0666
0.0730,-0.2042,0.4322,1,9.60,0.00,179.82,189.42,0,0.0179
0.0730,-0.2042,0.4322,1,21.50,0.00,566.10,587.60,0,0.3334
0.0730,-0.2042,0.4322,1,23.46,0.00,424.43,447.89,0,0.1859
0.0730,-0.2042,0.4322,1,34.60,0.00,383.47,418.07,0,0.1416
0.0730,-0.2042,0.4322,1,21.03,0.00,117.35,138.38,0,0.0048
0.2530,-0.1517,0.4322,1,21.45,0.00,1488.10,1509.55,0,1.8865
