x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
-0.1,0.05,0.85,0.0,0.0,0.0,0,11.734,1750,96.02,-1
-0.1,0.15,0.35,0.0,0.0,0.0,0,156.83,1750,101.49,-1
-0.1,0.15,0.45,0.0,0.0,0.0,0,109.08,1750,102.15,-1
-0.1,0.15,0.55,0.0,0.0,0.0,0,104.915,1750,98.73,-1
-0.1,0.15,0.65,0.0,0.0,0.0,0,104.936,1750,99.16,-1
-0.1,0.15,0.75,0.0,0.0,0.0,0,105.064,1750,97.66,-1
-0.1,0.15,0.85,0.0,0.0,0.0,0,105.034,1750,97.47,-1
-0.1,0.25,0.35,0.0,0.0,0.0,0,230.691,1750,101.89,-1
-0.1,0.25,0.45,0.0,0.0,0.0,0,471.137,1750,103.4,-1
-0.1,0.25,0.55,0.0,0.0,0.0,0,199.107,1750,103.1,-1
-0.1,0.25,0.65,0.0,0.0,0.0,0,203.15,1750,103.9,-1
-0.1,0.25,0.75,0.0,0.0,0.0,0,198.797,1750,100.96,-1
-0.1,0.25,0.85,0.0,0.0,0.0,0,199.231,1750,99.03,-1
-0.1,0.35,0.35,0.0,0.0,0.0,0,534.472,1750,104.39,-1
-0.1,0.35,0.45,0.0,0.0,0.0,0,512.34,1750,102.14,-1
-0.1,0.35,0.55,0.0,0.0,0.0,0,294.05,1750,102.5,-1
-0.1,0.35,0.65,0.0,0.0,0.0,0,439.322,1750,102.15,-1
-0.1,0.35,0.75,0.0,0.0,0.0,0,376.846,1750,102.51,-1
-0.1,0.35,0.85,0.0,0.0,0.0,0,294.172,1750,103.1,-1
-0.1,0.45,0.35,0.0,0.0,0.0,0,589.158,1750,102.81,-1
-0.1,0.45,0.45,0.0,0.0,0.0,0,712.688,1750,103.54,-1
-0.1,0.45,0.55,0.0,0.0,0.0,0,553.602,1750,102.49,-1
-0.1,0.45,0.65,0.0,0.0,0.0,0,502.724,1750,103.22,-1
-0.1,0.45,0.75,0.0,0.0,0.0,0,450.647,1750,103.48,-1
-0.1,0.45,0.85,0.0,0.0,0.0,0,389.985,1750,100.77,-1
0.0,0.05,0.35,0.0,0.0,0.0,0,142.985,1750,99.47,-1
0.0,0.05,0.45,0.0,0.0,0.0,0,81.626,1750,100.99,-1
0.0,0.05,0.55,0.0,0.0,0.0,0,55.513,1750,101.13,-1
0.0,0.05,0.65,0.0,0.0,0.0,0,20.864,1750,101.84,-1
0.0,0.05,0.75,0.0,0.0,0.0,0,49.927,1750,96.42,-1
0.0,0.05,0.85,0.0,0.0,0.0,0,11.904,1750,96.24,-1
0.0,0.15,0.35,0.0,0.0,0.0,0,173.739,1750,106.71,-1
0.0,0.15,0.45,0.0,0.0,0.0,0,370.938,1750,107.16,-1
0.0,0.15,0.55,0.0,0.0,0.0,0,112.621,1750,104.1,-1
0.0,0.15,0.65,0.0,0.0,0.0,0,108.936,1750,104.51,-1
0.0,0.15,0.75,0.0,0.0,0.0,0,123.246,1750,97.79,-1
0.0,0.15,0.85,0.0,0.0,0.0,0,105.47,1750,100.1,-1
