run,seed_idx,dt,target_x,target_y,target_z,success,pos_err_mm,robot_ms,setup_ms,loop_ms,solve_ms,iterations,iter_ms,cpu_time_ms,mem_kb,j1,j2,j3,j4,j5,j6,j7
212,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.426,0.051,0.156,5.633,1,0.15605,0.0,758984,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
213,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.652,0.068,0.149,5.869,1,0.14933,10.0,762024,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
214,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.484,0.053,0.196,5.732,1,0.19583,10.0,765400,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
215,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.749,0.054,0.15,5.953,1,0.15023,0.0,768140,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
216,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.443,0.052,0.163,5.658,1,0.16294,0.0,771180,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
217,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.845,0.055,0.163,6.063,1,0.16327,0.0,774220,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
218,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.74,0.052,0.208,6.0,1,0.2075,0.0,777260,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
219,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.779,0.051,0.157,5.987,1,0.15701,0.0,780304,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
220,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.526,0.05,0.162,5.739,1,0.16248,10.0,783344,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
221,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.394,0.052,0.161,5.606,1,0.16073,0.0,786396,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
222,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.467,0.051,0.155,5.673,1,0.15523,20.0,789432,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
223,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.556,0.056,0.163,5.775,1,0.16253,0.0,792484,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
224,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.841,0.067,0.169,6.077,1,0.16941,0.0,795516,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
225,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.499,0.107,0.175,5.78,1,0.17477,0.0,798564,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
226,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.758,0.056,0.169,5.983,1,0.16874,0.0,801608,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
227,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.429,0.05,0.159,5.639,1,0.1595,20.0,804656,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
228,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.451,0.052,0.163,5.666,1,0.1634,0.0,807696,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
229,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.788,0.051,0.154,5.993,1,0.15388,10.0,810740,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
230,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.818,0.052,0.144,6.014,1,0.14419,0.0,813784,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
231,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.804,0.054,0.163,6.021,1,0.163,10.0,816824,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
232,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.439,0.049,0.161,5.649,1,0.16099,0.0,819868,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
233,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.448,0.082,0.148,5.679,1,0.14841,10.0,822908,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
234,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.957,0.068,0.194,6.219,1,0.19393,10.0,825948,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
235,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.468,0.068,0.187,5.723,1,0.18677,0.0,828996,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
236,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.367,0.059,0.171,5.596,1,0.1707,10.0,832036,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
237,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.506,0.053,0.155,5.713,1,0.1551,0.0,835080,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
238,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.458,0.052,0.161,5.671,1,0.16076,10.0,838128,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
239,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.489,0.045,0.141,5.675,1,0.14101,0.0,841168,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
240,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.47,0.051,0.163,5.684,1,0.16282,10.0,844212,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
241,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.458,0.052,0.141,5.651,1,0.14096,0.0,847252,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
242,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.478,0.05,0.15,5.678,1,0.15002,10.0,850292,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
243,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.411,0.052,0.146,5.61,1,0.14646,10.0,853336,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
244,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.841,0.047,0.141,6.029,1,0.14136,10.0,856384,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
245,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.868,0.073,0.177,6.117,1,0.17672,0.0,859424,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
246,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.552,0.063,0.187,5.801,1,0.18659,10.0,862468,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
247,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.407,0.057,0.169,5.633,1,0.16933,0.0,865512,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
248,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.478,0.052,0.144,5.674,1,0.14373,10.0,868556,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
249,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.542,0.049,0.152,5.743,1,0.15235,10.0,871596,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
250,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.364,0.05,0.164,5.578,1,0.16435,0.0,874636,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
251,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.548,0.066,0.173,5.787,1,0.17309,10.0,877680,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
252,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.363,0.048,0.144,5.554,1,0.14363,0.0,880728,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
253,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.599,0.051,0.145,5.795,1,0.14455,10.0,883768,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
254,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.33,0.052,0.143,5.526,1,0.14334,0.0,886812,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
255,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.351,0.059,0.171,5.581,1,0.17129,10.0,889856,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
256,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.673,0.061,0.177,5.912,1,0.17721,10.0,892900,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
257,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.401,0.053,0.156,5.61,1,0.15609,10.0,895940,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
258,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.407,0.052,0.146,5.605,1,0.1464,0.0,898984,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
