t,x,y,z,success,ik_ms,total_ms,tx,ty,tz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778498839.968159,0.174394,-0.266956,0.593586,1,0.6602,0.844,0.169349,-0.268948,0.599496,0.0016,0.1656,0.4931,2,0.24653,0.6188,0.6188,119524,0
1778498840.01826,0.174598,-0.266814,0.593434,1,0.6788,0.8978,0.169553,-0.268806,0.599344,0.0007,0.1888,0.4893,2,0.24463,0.6246,0.6246,119524,0
1778498840.068571,0.175027,-0.26666,0.592752,1,0.6284,0.832,0.169983,-0.268651,0.598663,0.0005,0.1682,0.4597,2,0.22985,0.6178,0.6178,119524,0
1778498840.118675,0.175487,-0.266705,0.591559,1,0.592,0.7798,0.170443,-0.268696,0.59747,0.0007,0.1706,0.4207,2,0.21034,0.608,0.608,119528,0
1778498840.168864,0.175914,-0.266673,0.5904,1,0.5816,0.7616,0.170869,-0.268664,0.596311,0.0009,0.1729,0.4078,2,0.20389,0.5937,0.5937,119528,0
1778498840.218945,0.176275,-0.26697,0.589536,1,0.5489,0.7396,0.17123,-0.268961,0.595446,0.0007,0.1453,0.4028,2,0.2014,0.5896,0.5896,119528,0
1778498840.269046,0.177082,-0.267978,0.588782,1,0.8195,1.0749,0.172037,-0.269969,0.594693,0.0009,0.2163,0.6023,2,0.30115,0.5989,0.5989,119532,0
1778498840.319149,0.177115,-0.268296,0.588793,1,0.6362,0.8084,0.17207,-0.270287,0.594704,0.0008,0.1688,0.4666,2,0.23331,0.5893,0.5893,119532,0
1778498840.369248,0.177141,-0.268435,0.588854,1,0.6416,0.8316,0.172096,-0.270427,0.594765,0.0007,0.1631,0.4779,2,0.23893,0.5908,0.5908,119532,0
1778498840.419349,0.177231,-0.268678,0.588836,1,0.5535,0.7382,0.172186,-0.270669,0.594746,0.0007,0.1412,0.4116,2,0.20579,0.5946,0.5946,119532,0
1778498840.469449,0.177495,-0.269465,0.588591,1,0.559,0.7516,0.172451,-0.271456,0.594501,0.0007,0.1435,0.4147,2,0.20737,0.6094,0.6094,119536,0
1778498840.519623,0.177194,-0.269997,0.588519,1,0.6787,0.9118,0.172149,-0.271989,0.594429,0.0008,0.1803,0.4975,2,0.24876,0.6165,0.6165,119536,0
1778498840.569735,0.176768,-0.270455,0.588296,1,0.5738,0.7661,0.171724,-0.272446,0.594207,0.0008,0.1545,0.4185,2,0.20926,0.6301,0.6301,119540,0
1778498840.619862,0.176541,-0.270546,0.587803,1,0.653,0.8576,0.171496,-0.272537,0.593713,0.0008,0.1826,0.4696,2,0.23481,0.6338,0.6338,119552,0
1778498840.669937,0.178159,-0.271057,0.586889,1,0.5548,0.7385,0.173115,-0.273048,0.5928,0.0009,0.1519,0.4021,2,0.20103,0.6343,0.6343,119552,0
1778498840.720047,0.178393,-0.271021,0.586817,1,0.6314,1.4842,0.173348,-0.273012,0.592728,0.0009,0.1702,0.4603,2,0.23016,0.609,0.609,119552,0
1778498840.770149,0.178488,-0.270837,0.586687,1,0.565,3.6451,0.173443,-0.272828,0.592597,0.0007,0.1522,0.412,2,0.206,0.6033,0.6033,119552,0
1778498840.820249,0.178645,-0.27063,0.586523,1,0.5746,3.3588,0.173601,-0.272621,0.592434,0.001,0.1545,0.4191,2,0.20955,0.5973,0.5973,119556,0
1778498840.87034,0.178753,-0.270585,0.586377,1,0.6511,3.3912,0.173708,-0.272576,0.592287,0.0005,0.1085,0.5422,2,0.27111,0.5951,0.5951,119556,0
1778498840.92043,0.178533,-0.270703,0.586365,1,0.6457,0.8329,0.173488,-0.272694,0.592276,0.0015,0.1559,0.4883,2,0.24417,0.5976,0.5976,119556,0
1778498840.970606,0.178345,-0.270915,0.586347,1,0.6169,1.3169,0.1733,-0.272906,0.592258,0.0008,0.1737,0.4424,2,0.2212,0.6056,0.6056,119556,0
