x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.2540,-0.1598,0.4314,1,3.56,0.00,144.79,148.35,0,0.0024
0.2391,-0.2925,0.4314,1,4.25,0.00,1024.74,1028.98,0,1.0005
0.2391,-0.2925,0.4314,1,3.53,0.00,164.38,167.92,0,0.0000
0.2391,-0.2925,0.4314,1,3.09,0.00,165.27,168.36,0,0.0000
0.2391,-0.2925,0.4314,1,3.77,0.00,124.28,128.06,0,0.0018
0.2391,-0.2925,0.4314,1,3.38,0.00,165.26,168.64,0,0.0000
0.2391,-0.2925,0.4314,1,3.58,0.00,164.74,168.32,0,0.0000
0.2391,-0.2925,0.4314,1,3.70,0.00,164.91,168.61,0,0.0000
0.2391,-0.2925,0.4314,1,3.93,0.00,143.68,147.60,0,0.0026
0.2391,-0.2925,0.4314,1,3.58,0.00,164.79,168.37,0,0.0000
0.2391,-0.2925,0.4314,1,3.49,0.00,165.40,168.88,0,0.0000
0.2391,-0.2925,0.4314,1,3.68,0.00,163.94,167.62,0,0.0000
0.2391,-0.2925,0.4314,1,3.93,0.00,164.56,168.49,0,0.0000
0.2391,-0.2925,0.4314,1,3.51,0.00,164.59,168.09,0,0.0000
0.2391,-0.2925,0.4314,1,3.47,0.00,164.84,168.32,0,0.0000
0.2391,-0.2925,0.4314,1,3.55,0.00,165.20,168.75,0,0.0000
0.2391,-0.2925,0.4314,1,3.69,0.00,163.98,167.67,0,0.0000
0.2391,-0.2925,0.4314,1,3.35,0.00,165.12,168.47,0,0.0000
0.2391,-0.2925,0.4314,1,3.43,0.00,166.16,169.59,0,0.0000
0.2391,-0.2925,0.4314,1,3.12,0.00,163.36,166.48,0,0.0000
0.2391,-0.2925,0.4314,1,3.67,0.00,164.55,168.22,0,0.0000
0.2391,-0.2925,0.4314,1,3.49,0.00,164.61,168.09,0,0.0000
0.2391,-0.2925,0.4314,1,3.18,0.00,165.65,168.82,0,0.0000
0.0614,-0.2147,0.4315,1,5.21,0.00,1762.97,1768.18,0,1.9956
0.2391,-0.2925,0.4315,1,5.46,0.00,1763.98,1769.44,0,1.9939
0.0589,-0.2171,0.4315,1,5.35,0.00,1763.31,1768.66,0,1.9893
0.2392,-0.2925,0.4315,1,5.29,0.00,1781.36,1786.66,0,1.9487
0.1002,-0.2629,0.4315,1,4.58,0.00,1565.07,1569.64,0,1.6361
0.0961,-0.1406,0.4316,1,4.68,0.00,1102.27,1106.95,0,1.3866
0.1021,-0.2511,0.4316,1,4.62,0.00,1043.40,1048.02,0,1.2447
0.0747,-0.2575,0.4316,1,4.39,0.00,685.26,689.64,0,0.2447
0.0386,-0.3548,0.4316,1,4.82,0.00,1023.02,1027.84,0,1.3940
0.2393,-0.2925,0.4316,1,4.33,0.00,1763.35,1767.68,0,2.4838
0.0961,-0.3018,0.4316,1,5.39,0.00,1582.66,1588.05,0,1.7223
0.0748,-0.2575,0.4316,1,4.04,0.00,784.88,788.91,0,0.5503
0.0748,-0.2575,0.4316,1,3.18,0.00,125.14,128.32,0,0.0021
0.0748,-0.2575,0.4316,1,3.73,0.00,384.84,388.57,0,0.0446
0.0748,-0.2575,0.4316,1,3.30,0.00,165.43,168.73,0,0.0000
0.0748,-0.2575,0.4316,1,3.04,0.00,164.11,167.16,0,0.0000
0.0748,-0.2575,0.4316,1,3.33,0.00,165.54,168.87,0,0.0000
0.0748,-0.2575,0.4316,1,3.92,0.00,164.87,168.80,0,0.0000
0.0748,-0.2576,0.4316,1,3.92,0.00,184.79,188.71,0,0.0063
0.0748,-0.2576,0.4316,1,4.09,0.00,183.67,187.76,0,0.0063
0.0748,-0.2576,0.4316,1,3.60,0.00,164.81,168.41,0,0.0000
0.0748,-0.2576,0.4316,1,3.64,0.00,164.54,168.18,0,0.0000
0.0748,-0.2576,0.4316,1,3.34,0.00,183.02,186.36,0,0.0000
0.0748,-0.2576,0.4316,1,3.64,0.00,167.57,171.21,0,0.0000
0.1366,-0.1277,0.4317,1,4.92,0.00,1263.43,1268.35,0,1.8050
0.0401,-0.3426,0.4317,1,4.87,0.00,1402.98,1407.85,0,3.1290
0.0749,-0.2576,0.4317,1,4.39,0.00,1043.90,1048.29,0,1.3261
0.0748,-0.2577,0.4317,1,4.37,0.00,164.36,168.73,0,0.0000
0.0748,-0.2577,0.4317,1,3.36,0.00,164.22,167.58,0,0.0000
0.0748,-0.2577,0.4317,1,3.61,0.00,165.59,169.20,0,0.0000
0.0748,-0.2577,0.4317,1,3.24,0.00,164.34,167.58,0,0.0000
